periodo,grupo,n,start,end,avg
macri,Alimentos y bebidas,47,2016-01-01,2019-11-01,138.3154327604701
alberto,Alimentos y bebidas,48,2019-12-01,2023-11-01,144.62264838918955
milei,Alimentos y bebidas,31,2023-12-01,2026-06-01,144.46434625313285
macri,Petróleo + Químicos,47,2016-01-01,2019-11-01,131.80059983175002
alberto,Petróleo + Químicos,48,2019-12-01,2023-11-01,132.7018546186295
milei,Petróleo + Químicos,31,2023-12-01,2026-06-01,132.19482148014367
macri,Resto,47,2016-01-01,2019-11-01,120.43459032713807
alberto,Resto,48,2019-12-01,2023-11-01,112.96881298091562
milei,Resto,31,2023-12-01,2026-06-01,100.85907242345395
