indice_tiempo,serie_original,serie_desestacionalizada,serie_tendencia_ciclo
2016-01-01,117.05119421077302,134.743258730318,132.209346073996
2016-02-01,118.90029357259574,131.937215915978,131.502164420566
2016-03-01,136.80623010580314,130.539114105039,130.67232657397
2016-04-01,132.0696490854989,130.851634260127,129.778312697299
2016-05-01,132.12673005161108,128.758995514404,128.881697579471
2016-06-01,124.9916505365282,124.461645345874,128.093677516461
2016-07-01,126.76147447449927,126.909900844154,127.574158662364
2016-08-01,133.7329827733621,124.440204820349,127.379296195484
2016-09-01,135.51789212141713,128.216655244364,127.434868380568
2016-10-01,133.34114128281072,127.758515288834,127.663036663577
2016-11-01,134.73703178156455,131.023587517232,127.954386400905
2016-12-01,124.08230099201045,130.263040096848,128.26995308913
2017-01-01,115.72788011075902,129.313300820739,128.638574057626
2017-02-01,109.43840116663539,125.480613741839,129.144006238453
2017-03-01,135.7397555654156,129.302447742611,129.862008637524
2017-04-01,127.06229310335894,129.744380626676,130.798759668349
2017-05-01,137.32629188497592,131.551733729187,131.916783298282
2017-06-01,134.50955603897785,132.800814571033,133.097080964518
2017-07-01,135.52441430007988,135.052759508277,134.163304635714
2017-08-01,143.01220222320006,133.199369482292,134.998382452004
2017-09-01,140.47537228449835,136.082780326461,135.524382662333
2017-10-01,142.91248117324935,134.27120380892,135.715586674313
2017-11-01,141.4719289560601,138.085978040068,135.601240777261
2017-12-01,126.4041221015147,136.511865335303,135.22541415486
2018-01-01,120.49879049928444,131.756216737726,134.619237835276
2018-02-01,116.47032626071217,132.240099449313,133.773509614739
2018-03-01,137.87384466026174,134.013800042448,132.659965286858
2018-04-01,132.09178628946967,133.08896398413,131.26391901669
2018-05-01,135.86546669164358,130.521331442862,129.572711828278
2018-06-01,123.7285406594831,124.643956372355,127.616250639095
2018-07-01,126.78055488105136,123.070502070147,125.487484396963
2018-08-01,134.230175656126,124.064003500117,123.298341857251
2018-09-01,122.79085973979822,122.338481662603,121.261637816195
2018-10-01,130.95087535592188,120.158119919167,119.593830242116
2018-11-01,121.7206486951649,117.52828796275,118.471533583628
2018-12-01,107.65050820288417,117.031573505213,117.967525008947
2019-01-01,107.03848029567479,118.000025886924,118.034052744998
2019-02-01,106.67393616491125,121.227429494384,118.497860682207
2019-03-01,118.4180246331019,118.459101916074,119.109378576061
2019-04-01,120.37257298567555,117.964949112565,119.592489373956
2019-05-01,126.47961261497039,121.013848315293,119.795436393946
2019-06-01,114.85187278421954,119.291372958025,119.680076242543
2019-07-01,124.59825669196819,118.115982624282,119.26290873122
2019-08-01,125.6565333781152,118.14095251272,118.586647695698
2019-09-01,116.66765831856677,113.969125983522,117.653570082241
2019-10-01,128.57781819763605,118.23191030115,116.420468545947
2019-11-01,116.4504456095095,114.934205872748,114.847416038264
2019-12-01,109.19722086584407,115.808431077701,112.917836083368
2020-01-01,106.96676586826234,117.384831643505,110.713297439459
