fecha,alimentos_sa,petro_quim_sa,resto_sa
2016-01-01,142.974274064721,133.49066575421315,129.979217950542
2016-02-01,138.6696942021,134.1568066365647,124.91828898860258
2016-03-01,137.395781784019,137.2715436703192,125.74851701820843
2016-04-01,138.143636036943,136.72483847617326,126.1160778879802
2016-05-01,137.583377876739,136.73565447456755,122.65694245698728
2016-06-01,134.792004694327,131.7860305765354,118.42346245341805
2016-07-01,134.667246244694,139.10331333898623,117.71981740011368
2016-08-01,137.499121540379,136.44108619492422,116.34331411506463
2016-09-01,140.512406538279,140.57506195200952,120.36089416846788
2016-10-01,140.723120831616,136.8094645784539,121.04709037859668
2016-11-01,143.115740998424,136.6393817741828,123.78430516740386
2016-12-01,143.533203152006,133.06820646150308,123.84697824419064
2017-01-01,140.424797482335,135.78815959042035,123.85004480457835
2017-02-01,135.25267739325,135.92844448741675,118.90249419201322
2017-03-01,140.644271254473,134.54947312884008,123.68436651684745
2017-04-01,139.143005135261,139.18955312175328,123.31430940718055
2017-05-01,139.256846554879,138.1771597201255,125.73483910489458
2017-06-01,138.908690941395,140.22311745603074,127.99001465740264
2017-07-01,141.730291666052,136.06048270260482,132.1824202797818
2017-08-01,139.372033785262,134.91104805860036,130.70202161624454
2017-09-01,140.151072768579,136.01382893591074,134.73380255094034
2017-10-01,138.990337172013,137.89169322261031,132.4564010738188
2017-11-01,144.692848094324,136.17903762003917,136.01840879439624
2017-12-01,136.830518373363,139.94003621614792,133.99722808655622
2018-01-01,137.147867431189,136.36252106496852,128.669884149014
2018-02-01,137.869809314893,133.9526009048899,130.45616138769063
2018-03-01,141.906295704722,133.96256570471442,130.65516192381773
2018-04-01,142.01704347872,133.69038267654855,129.36318812391167
2018-05-01,138.772412066218,130.59425959655215,126.02054105367395
2018-06-01,133.538537417503,125.84898944412723,119.32459927597804
2018-07-01,136.707254105201,121.71460454261474,117.75943619258209
2018-08-01,136.976622903743,123.32725332707666,119.68167860981794
2018-09-01,136.287733716518,130.68077860679284,114.79492716022183
2018-10-01,137.881662175095,126.4410049423021,111.76232595107118
2018-11-01,134.432378838608,126.16970696819807,108.07391528174122
2018-12-01,134.61569497638,127.8083604343255,107.94283015698281
2019-01-01,133.618696121263,126.88057339481819,108.96276877232793
2019-02-01,136.995721087418,130.03086378556347,113.21170759805663
2019-03-01,133.697417983429,127.31987214700094,108.58823159523908
2019-04-01,134.833687804096,127.25841108182037,107.95341872863418
2019-05-01,137.930794703611,128.28661440143725,111.43522478040163
2019-06-01,139.114606027512,119.04952863883187,109.91837800925538
2019-07-01,138.85362261333,115.68378107900965,109.70760940904992
2019-08-01,140.475954038318,118.64613020163885,108.47433135189834
2019-09-01,135.102149684293,116.69234730810436,105.0075396497327
2019-10-01,139.674813751578,126.20742488372933,107.5160322629001
2019-11-01,134.68181243829,124.01942334404967,103.68161624948134
2019-12-01,140.34502724459,125.88714517035103,103.53352486479339
2020-01-01,139.688815718137,128.80320144771494,105.33216459762575
2020-02-01,138.976202887519,126.03995118971973,106.02088908458445
2020-03-01,128.579272948472,122.1185138980435,75.73290086974222
2020-04-01,136.163115734575,108.29604923851748,46.71478400130624
2020-05-01,137.518328688852,112.11374316025892,69.73395076160935
2020-06-01,137.517293481691,119.86632664160939,87.43799253750858
2020-07-01,138.472334627154,125.13326332193341,92.48662501052316
2020-08-01,138.398967238679,128.50442138082371,98.10825693544099
2020-09-01,138.725159329919,123.65117537231595,102.3812022486084
2020-10-01,140.165751421347,119.97346961729252,107.00774008687189
2020-11-01,142.985398397324,125.94571117149553,111.12215110078155
2020-12-01,129.882719498771,127.11761837907041,113.16965853361216
2021-01-01,147.788744163895,128.13316089695542,119.60538896958049
2021-02-01,145.169620641372,128.42395077756385,112.0929461926351
2021-03-01,146.578803314107,134.54175462390077,115.35774176923063
2021-04-01,145.366428679795,132.0446165501914,111.1890325224559
2021-05-01,143.433751128068,133.0172660634641,111.77016385180072
2021-06-01,146.164690286552,133.95995524173418,115.32289006709911
2021-07-01,144.534750334673,134.32619161094345,115.38906719943989
2021-08-01,146.341844621866,135.71225136687457,114.6939061966266
2021-09-01,147.399652435727,133.5036663348494,116.77151540328855
2021-10-01,143.940678302946,131.05390315118674,116.3501894153502
2021-11-01,147.522510433044,138.47232256655874,119.11427523701944
2021-12-01,146.984510857286,137.25812520122682,123.16327774776369
2022-01-01,142.012788546107,137.77918102529358,119.19324637114406
2022-02-01,151.513047821357,137.97882851021848,122.5789889117835
2022-03-01,150.311368694232,138.66994559213978,120.65150886887835
2022-04-01,153.237376281048,137.28502365811966,120.01096377141003
2022-05-01,152.681041062547,139.97606656916454,124.89206318928112
2022-06-01,152.964298891334,141.2943652771819,127.1479316793179
2022-07-01,153.106278125142,139.71081455661022,126.67378746493473
2022-08-01,151.613571703579,141.85091740111926,122.26679201637644
2022-09-01,150.883539093562,136.02980046684414,120.5827397777046
2022-10-01,148.808032111038,138.67612446233832,120.89111246503349
2022-11-01,148.199953868666,138.96375239497573,119.05832672176975
2022-12-01,147.508911132708,133.73592516929799,121.17064702137579
2023-01-01,149.725197421017,133.72099751861055,123.61849490257443
2023-02-01,143.591527318645,136.1908246662521,123.58213452837364
2023-03-01,150.992269048476,137.9435947416165,127.96389218357791
2023-04-01,156.421660957465,141.9710113724212,128.37204057905774
2023-05-01,148.901919859662,140.66372859323417,123.65379289253654
2023-06-01,145.887293463864,139.66828289158119,122.98203299578904
2023-07-01,144.849762078294,141.82456701344412,122.58976451014043
2023-08-01,140.573058113159,133.8071405366639,121.2044552653542
2023-09-01,137.662278578124,141.03196240466775,120.8394764871148
2023-10-01,141.700412938302,133.4315309793868,118.40279799846073
2023-11-01,138.90790619271,133.6392841688196,114.47729833086356
2023-12-01,140.671426574457,126.842263979946,103.3239499468456
2024-01-01,136.975861594284,119.27281484070566,102.84398621953386
2024-02-01,135.14474235602,126.43603261617737,100.0715060646869
2024-03-01,135.625620720579,133.81636756677193,92.91451200699105
2024-04-01,135.925885423649,126.85013744248624,94.27696989150668
2024-05-01,139.488263872184,130.78426365836765,94.69634446918548
2024-06-01,141.394526456832,128.23119480042791,92.92639910393892
2024-07-01,146.816822391971,134.95477951771952,101.80781431634612
2024-08-01,146.107712088759,132.35158542994242,106.17965474816249
2024-09-01,149.534474952947,132.76625744986285,106.67254397950971
2024-10-01,148.091174100595,131.50238467855854,106.73190690014232
2024-11-01,152.393938579845,130.46950368873397,108.18650428394585
2024-12-01,148.491481822889,135.7060458818334,110.1531796383972
2025-01-01,147.873682525786,130.8954349505114,107.6777990150272
2025-02-01,156.692586298397,131.60269268466104,110.20922835471245
2025-03-01,145.280397418318,124.34882373736323,104.0992769995491
2025-04-01,147.286548076187,128.12063871502278,106.53212599068915
2025-05-01,146.263736860506,132.44703904149256,107.5006216938209
2025-06-01,144.711431753411,132.46460814837326,104.07597708144087
2025-07-01,143.271212806815,134.06576410568988,102.47634202925411
2025-08-01,146.65593078447,134.5603580265777,100.96069803359423
2025-09-01,146.008560707291,133.9671355421646,100.73243424924368
2025-10-01,146.463967854865,131.49357591478125,100.54779850413681
2025-11-01,144.87064502782,132.02977047560836,99.07153986883932
2025-12-01,145.620269666459,135.471326546393,98.34118695732633
2026-01-01,148.604573948493,139.01356057977534,100.8256456000926
2026-02-01,146.357399353855,138.3122520166649,95.6085449040913
2026-03-01,152.796311580241,141.3969146784691,100.53994959425239
2026-04-01,145.706347580895,146.47193142461828,98.77736995683021
