presidency,n_months,start,end,avg_sa,avg_original,avg_trend
M. Macri (2016-2019),48,2016-01-01,2019-12-01,126.39145837139766,126.36162666727488,126.55097338167886
A. Fernández (2020-2023),48,2020-01-01,2023-12-01,124.0621573479489,124.00491617969814,124.63928915930852
J. Milei (2024-2027),30,2024-01-01,2026-06-01,117.78803862436867,117.12808250171038,117.9592098810635
