fecha,alimentos,petro_quim,resto,ng_original
2016-01-01,130.67616072746296,131.9474687210512,107.08331499611687,117.05119421077302
2016-02-01,129.2639730718447,128.15544941092375,111.91559137173304,118.90029357259574
2016-03-01,141.65062327052485,140.15746036168886,133.8218689818951,136.80623010580314
2016-04-01,135.53429109059624,138.69053866252045,128.71973842227348,132.0696490854989
2016-05-01,139.57321559211331,138.4415860592987,127.20453765934292,132.12673005161108
2016-06-01,134.04408137778398,130.20894166323242,119.71564759421855,124.9916505365282
2016-07-01,137.26341179592265,138.13354328938556,119.10995881685703,126.76147447449928
2016-08-01,151.47051550639057,136.9499564122919,125.41108427907278,133.7329827733621
2016-09-01,146.86194873690607,144.19153453749257,128.29172933931332,135.51789212141713
2016-10-01,144.68042812430696,142.30719194217207,126.0328240091487,133.34114128281072
2016-11-01,143.80846778552308,141.4028776038617,129.0362680219805,134.73703178156455
2016-12-01,139.17574439457098,129.7177767397043,116.16698465638646,124.08230099201045
2017-01-01,131.4241036662142,134.24925202857165,103.85317185744992,115.72788011075902
2017-02-01,118.79586523543726,121.17381702819114,102.15955031655093,109.4384011666354
2017-03-01,144.0918450547043,137.87216492566037,131.64348589427797,135.7397555654156
2017-04-01,131.4323263505788,137.51057169005745,122.23348376530116,127.06229310335894
2017-05-01,145.25789351245908,141.78025678472113,132.73730614825692,137.32629188497592
2017-06-01,139.32606914072568,139.91487107984358,130.94573693978646,134.50955603897785
2017-07-01,143.78390590856162,134.07588827516642,132.49720588816507,135.52441430007988
2017-08-01,153.1777591297517,136.23508322789786,140.7235599918064,143.01220222320006
2017-09-01,143.85892708402633,138.89222940643847,139.52006545506086,140.47537228449835
2017-10-01,146.48768862693058,144.51511454322755,140.9605202867462,142.91248117324935
2017-11-01,143.84183476565198,140.2815950619418,140.826257971234,141.4719289560601
2017-12-01,128.4862734655399,134.4051304381019,123.23353834621895,126.4041221015147
2018-01-01,132.35087943589363,136.5915091556206,110.92587562870116,120.49879049928444
2018-02-01,121.85990797217028,119.08811320754941,113.46968847815371,116.47032626071216
2018-03-01,142.84648197917423,136.718109441337,136.13293265335503,137.87384466026174
2018-04-01,136.4425932681144,132.10332700021237,130.2742693120577,132.09178628946967
2018-05-01,144.40567193473868,134.40583098105103,132.72440345517404,135.86546669164358
2018-06-01,132.20344344813157,125.04953701664773,119.81455258039549,123.7285406594831
2018-07-01,142.96544284912292,121.54172805620935,121.53931787294196,126.78055488105136
2018-08-01,150.16331743838091,125.612780710773,130.06612824193584,134.230175656126
2018-09-01,134.94465889897236,130.2519064330146,115.57598766999101,122.79085973979822
2018-10-01,148.66527856073984,134.847619794697,122.44301056703046,130.95087535592188
2018-11-01,134.35487702724652,131.631881748894,113.60038209186344,121.7206486951649
2018-12-01,125.32917208798432,120.59560386865095,96.55379266473732,107.65050820288415
2019-01-01,129.09821247871486,127.02177897418073,92.08963728697486,107.0384802956748
