periodo,grupo,n,start,end,avg_sa
macri,Alimentos y bebidas,48,2016-01-01,2019-12-01,138.30465589687708
alberto,Alimentos y bebidas,48,2020-01-01,2023-12-01,144.5972018190256
milei,Alimentos y bebidas,30,2024-01-01,2026-06-01,145.55243553026236
macri,Petróleo + Químicos,48,2016-01-01,2019-12-01,131.54523310760047
alberto,Petróleo + Químicos,48,2020-01-01,2023-12-01,132.71070184954283
milei,Petróleo + Químicos,30,2024-01-01,2026-06-01,132.9913286228926
macri,Resto,48,2016-01-01,2019-12-01,119.94077414250035
alberto,Resto,48,2020-01-01,2023-12-01,112.95135244548302
milei,Resto,30,2024-01-01,2026-06-01,101.85882911647931
