presidency,n_months,start,end,avg_sa,avg_original,avg_trend
M. Macri (dic-2015 a nov-2019),47,2016-01-01,2019-11-01,126.6143209591277,126.72682679070957,126.83863623287239
A. Fernández (dic-2019 a nov-2023),48,2019-12-01,2023-11-01,124.03104274088228,124.04227855022552,124.51309267614867
J. Milei (desde dic-2023),31,2023-12-01,2026-06-01,117.77585731026913,116.81439684296262,117.99563054836004
